#{"t_start": 1765582597.4202473, "env_id": "None"}
r,l,t
-64.4,1000,2190.029182
792.8,1000,2192.270251
253.2,1000,2194.358081
27.8,1000,2196.508452
677.2,1000,2198.626484
178.4,1000,2203.506014
-149.6,1000,2205.416293
90.0,1000,2207.509322
140.8,1000,2209.662974
98.6,1000,2211.72682
-16.2,1000,2213.801361
169.0,1000,2215.6977
792.8,1000,2217.66518
82.0,1000,2221.895677
4.6,1000,2224.045081
29.6,1000,2226.207579
135.6,1000,2228.25429
248.0,1000,2230.453854
59.4,1000,2232.655421
49.4,1000,2235.218369
418.6,1000,2238.060288
-46.0,1000,2242.867596
679.0,1000,2245.190083
809.6,1000,2247.327623
15.4,1000,2249.34958
807.8,1000,2251.486778
200.6,1000,2253.700975
68.4,1000,2255.836415
-43.4,1000,2257.942794
274.4,1000,2262.01715
-105.2,1000,2264.083514
679.0,1000,2266.187906
404.2,1000,2268.21599
150.4,1000,2270.300933
420.8,1000,2272.363369
114.6,1000,2274.433713
-132.0,1000,2276.456167
-70.0,1000,2280.513988
364.4,1000,2282.539567
-3.4,1000,2284.433894
-9.0,1000,2286.434188
-179.8,1000,2288.444412
-16.4,1000,2290.50622
-17.8,1000,2292.588127
-15.8,1000,2294.58109
227.4,1000,2298.884161
417.2,1000,2301.042664
376.6,1000,2303.238847
793.0,1000,2305.457083
52.2,1000,2307.641227
-101.6,1000,2309.753576
-93.6,1000,2311.703677
796.8,1000,2313.932051
796.0,1000,2318.384061
-127.6,1000,2320.518844
689.6,1000,2322.591429
-112.2,1000,2324.65207
129.2,1000,2326.71589
-123.6,1000,2328.697572
427.8,1000,2330.798714
-92.8,1000,2332.868672
